,Genotype,Plasmid_counts,Rep_1_counts,Rep_2_counts,Plasmid_RPM,r1_RPM,r2_RPM,r1_FC,r2_FC,avg_FC,neighbors,n_muts
455450,1.0101E+16,0,4,0,0,18.16052084,0,inf,,,105.1754038,8
610033,1.1011E+16,0,1,0,0,4.540130211,0,inf,,,104.7136497,7
661803,1.11101E+16,0,0,1,0,0,3.368182798,,inf,,104.4136667,13
489683,1.01111E+16,0,3,3,0,13.62039063,10.10454839,inf,inf,inf,104.2162001,12
455546,1.0101E+16,1,7,0,2.069129621,31.78091148,0,15.35955561,0,7.679777806,103.9640555,8
679513,1.11112E+16,0,0,6,0,0,20.20909679,,inf,,103.6613241,10
96197,1.10001E+14,0,6,2,0,27.24078127,6.736365596,inf,inf,inf,103.3096861,7
23514,1.1011E+12,0,0,4,0,0,13.47273119,,inf,,102.7295753,8
282677,1.11E+15,0,2,0,0,9.080260422,0,inf,,,102.3791164,8
88129,1.012E+14,2,104,9,4.138259241,472.1735419,30.31364518,114.099556,7.325216574,60.71238627,90.40898615,4
3119,1110101121,0,17,1,0,77.18221359,3.368182798,inf,inf,inf,101.4539962,8
115962,1.11101E+14,0,0,25,0,0,84.20456995,,inf,,101.4092178,9
116830,1.11101E+14,0,0,2,0,0,6.736365596,,inf,,101.4092178,11
489755,1.01111E+16,0,5,3,0,22.70065105,10.10454839,inf,inf,inf,101.0907523,11
283370,1.11E+15,1,0,10,2.069129621,0,33.68182798,0,16.27825905,8.139129527,101.0597122,10
273024,1.10111E+15,2,1,391,4.138259241,4.540130211,1316.959474,1.097111115,318.2399645,159.6685378,9.028871012,5
848426,1.0011E+17,1,0,26,2.069129621,0,87.57275275,0,42.32347354,21.16173677,100.0172145,11
117258,1.11101E+14,0,0,18,0,0,60.62729036,,inf,,100.0072471,11
1035002,1.0111E+17,0,0,2,0,0,6.736365596,,inf,,99.92985208,11
1277029,1.1021E+17,0,0,8,0,0,26.94546238,,inf,,98.76951752,8
320116,1.20011E+15,0,2,0,0,9.080260422,0,inf,,,98.37272984,6
455408,1.0101E+16,0,6,0,0,27.24078127,0,inf,,,98.22070059,8
1280485,1.1021E+17,0,0,4,0,0,13.47273119,,inf,,97.67207843,8
428599,1.00111E+16,0,7,1,0,31.78091148,3.368182798,inf,inf,inf,97.66151081,8
455834,1.0101E+16,0,4,2,0,18.16052084,6.736365596,inf,inf,inf,97.12339358,8
1290853,1.10211E+17,0,0,8,0,0,26.94546238,,inf,,97.12335889,8
320113,1.20011E+15,0,1,0,0,4.540130211,0,inf,,,96.89344067,6
1275373,1.1021E+17,0,0,5,0,0,16.84091399,,inf,,96.57463935,8
1086698,1.01201E+17,0,13,0,0,59.02169274,0,inf,,,96.47875578,11
380310,1.00001E+16,1,0,1,2.069129621,0,3.368182798,0,1.627825905,0.813912953,96.21684485,5
288531,1.1101E+15,1,0,3,2.069129621,0,10.10454839,0,4.883477716,2.441738858,95.99320974,12
380313,1.00001E+16,0,0,4,0,0,13.47273119,,inf,,94.37976118,7
996138,1.011E+17,0,0,1,0,0,3.368182798,,inf,,94.30911834,8
1420831,1.11111E+17,0,0,13,0,0,43.78637637,,inf,,94.03951993,12
528805,1.021E+16,0,0,187,0,0,629.8501832,,inf,,93.85204039,6
17571,1.001E+12,0,99,15,0,449.4728909,50.52274197,inf,inf,inf,5.910934133,5
407863,1.001E+16,0,8,2,0,36.32104169,6.736365596,inf,inf,inf,93.39100837,6
864465,1.00111E+17,0,5,2,0,22.70065105,6.736365596,inf,inf,inf,93.38988632,11
1024346,1.01101E+17,1,7,0,2.069129621,31.78091148,0,15.35955561,0,7.679777806,93.28955542,10
670469,1.1111E+16,0,0,48,0,0,161.6727743,,inf,,93.21100065,8
1024496,1.01101E+17,0,11,3,0,49.94143232,10.10454839,inf,inf,inf,92.80809242,12
930942,1.00211E+17,0,0,6,0,0,20.20909679,,inf,,92.75473337,11
380323,1.00001E+16,0,0,6,0,0,20.20909679,,inf,,92.73360256,7
890385,1.00201E+17,0,2,0,0,9.080260422,0,inf,,,91.67923275,9
442519,1.01001E+16,0,0,5,0,0,16.84091399,,inf,,91.63616347,7
381175,1.00001E+16,0,0,8,0,0,26.94546238,,inf,,91.63616347,7
1050602,1.01111E+17,0,0,49,0,0,165.0409571,,inf,,91.29082382,13
411415,1.00101E+16,0,0,4,0,0,13.47273119,,inf,,91.27836897,7
930906,1.00211E+17,0,0,2,0,0,6.736365596,,inf,,91.11595716,11
1304202,1.10211E+17,0,0,3,0,0,10.10454839,,inf,,90.78820192,13
930882,1.00211E+17,0,0,4,0,0,13.47273119,,inf,,90.46044668,11
88130,1.012E+14,2,115,9,4.138259241,522.1149743,30.31364518,126.1677782,7.325216574,66.74649741,101.7490549,4
1074590,1.01201E+17,0,2,0,0,9.080260422,0,inf,,,90.13889738,10
38214,1.0101E+13,0,3,1,0,13.62039063,3.368182798,inf,inf,inf,89.31746418,6
88140,1.012E+14,1,154,12,2.069129621,699.1800525,40.41819358,337.9102235,19.53391086,178.7220672,84.32569174,4
1035062,1.0111E+17,0,0,37,0,0,124.6227635,,inf,,88.64264424,13
48582,1.1001E+13,0,12,5,0,54.48156253,16.84091399,inf,inf,inf,88.28341197,6
1075095,1.01201E+17,0,9,1,0,40.8611719,3.368182798,inf,inf,inf,88.06429716,11
749923,1E+17,0,0,1,0,0,3.368182798,,inf,,87.87273569,10
288506,1.1101E+15,0,0,2,0,0,6.736365596,,inf,,87.70161246,10
1148370,1.10001E+17,0,3,0,0,13.62039063,0,inf,,,87.37276375,10
13486,2.0111E+11,0,13,1,0,59.02169274,3.368182798,inf,inf,inf,87.32846342,8
1034978,1.0111E+17,0,0,24,0,0,80.83638715,,inf,,87.01118453,11
147131,2.01101E+14,0,5,4,0,22.70065105,13.47273119,inf,inf,inf,86.15504673,10
3116,1110101110,0,12,1,0,54.48156253,3.368182798,inf,inf,inf,86.14391485,7
863394,1.00111E+17,0,0,1,0,0,3.368182798,,inf,,85.88866135,12
658777,1.11101E+16,0,0,21,0,0,70.73183876,,inf,,85.79543626,9
108351,1.1021E+14,0,10,0,0,45.40130211,0,inf,,,85.70852691,10
1420825,1.11111E+17,0,0,498,0,0,1677.355033,,inf,,85.48523196,11
36573,1.01E+13,0,0,23,0,0,77.46820435,,inf,,85.38860055,9
33031,1.0001E+13,0,11,3,0,49.94143232,10.10454839,inf,inf,inf,85.35484005,6
88152,1.012E+14,1,113,16,2.069129621,513.0347138,53.89092477,247.947112,26.04521449,136.9961633,113.0971019,4
1148826,1.10001E+17,0,2,1,0,9.080260422,3.368182798,inf,inf,inf,84.7960355,11
1179906,1.10011E+17,0,1,2,0,4.540130211,6.736365596,inf,inf,inf,84.7960355,12
1076823,1.01201E+17,0,2,1,0,9.080260422,3.368182798,inf,inf,inf,84.74792432,11
1147938,1.10001E+17,2,2,0,4.138259241,9.080260422,0,2.19422223,0,1.097111115,84.60511046,10
150336,2.012E+14,1,87,14,2.069129621,394.9913284,47.15455917,190.897334,22.78956268,106.8434484,19.07367669,3
179274,2.11101E+14,0,0,4,0,0,13.47273119,,inf,,83.24983137,11
281457,1.11E+15,0,0,8,0,0,26.94546238,,inf,,82.8566508,10
36357,1.01E+13,0,0,15,0,0,50.52274197,,inf,,82.78382449,7
639365,1.1101E+16,0,0,6,0,0,20.20909679,,inf,,82.52047855,7
671333,1.1111E+16,0,0,2,0,0,6.736365596,,inf,,82.52047855,9
965745,1.0101E+17,0,0,7,0,0,23.57727959,,inf,,82.49885631,10
917055,1.0021E+17,0,10,0,0,45.40130211,0,inf,,,82.17415467,11
174993,2.1101E+14,0,1,0,0,4.540130211,0,inf,,,82.08682834,9
1138434,1.10001E+17,0,1,0,0,4.540130211,0,inf,,,81.83745716,10
41613,1.02E+13,0,0,3,0,0,10.10454839,,inf,,81.75773106,8
630866,1.11001E+16,0,3,0,0,13.62039063,0,inf,,,81.36090438,7
288554,1.1101E+15,1,0,775,2.069129621,0,2610.341668,0,1261.565077,630.7825383,81.30461164,11
302586,1.1111E+15,0,0,2,0,0,6.736365596,,inf,,80.83638715,10
170559,2.1021E+14,0,178,0,0,808.1431775,0,inf,,,80.6212598,10
423703,1.0011E+16,0,10,1,0,45.40130211,3.368182798,inf,inf,inf,80.49616391,8
288552,1.1101E+15,1,0,20,2.069129621,0,67.36365596,0,32.55651811,16.27825905,80.33769185,10
1398572,1.11101E+17,0,0,15,0,0,50.52274197,,inf,,79.97227895,13
170558,2.1021E+14,0,2,0,0,9.080260422,0,inf,,,79.96517202,9
402594,1.00012E+16,0,2,0,0,9.080260422,0,inf,,,79.59446781,11
88200,1.012E+14,4,144,11,8.276518483,653.7787504,37.05001078,78.99200029,4.47652124,41.73426077,93.45478775,4
847746,1.0011E+17,0,0,9,0,0,30.31364518,,inf,,79.31676847,9
186660,1E+15,7,17,800,14.48390734,77.18221359,2694.546238,5.328825416,186.0372463,95.68303587,4.329104815,3
801114,1.00011E+17,0,0,2,0,0,6.736365596,,inf,,79.15229575,10
170561,2.1021E+14,0,2,0,0,9.080260422,0,inf,,,79.08157896,10
288482,1.1101E+15,1,0,26,2.069129621,0,87.57275275,0,42.32347354,21.16173677,78.57733443,10
116850,1.11101E+14,0,0,8,0,0,26.94546238,,inf,,78.4267811,10
661802,1.11101E+16,0,0,25,0,0,84.20456995,,inf,,78.35627144,12
116898,1.11101E+14,0,0,31,0,0,104.4136667,,inf,,78.24523762,11
115098,1.111E+14,0,0,4,0,0,13.47273119,,inf,,78.06369415,9
847750,1.0011E+17,0,0,5,0,0,16.84091399,,inf,,78.0057475,10
222132,1.01001E+15,0,0,7,0,0,23.57727959,,inf,,77.91817493,6
402330,1.00012E+16,0,4,0,0,18.16052084,0,inf,,,77.75738414,10
847796,1.0011E+17,0,0,1,0,0,3.368182798,,inf,,77.35023702,11
1421689,1.11111E+17,1,0,15,2.069129621,0,50.52274197,0,24.41738858,12.20869429,77.03777062,12
1035048,1.0111E+17,0,0,24,0,0,80.83638715,,inf,,76.94630306,11
116827,1.11101E+14,0,0,18,0,0,60.62729036,,inf,,76.79288982,11
847736,1.0011E+17,0,0,4,0,0,13.47273119,,inf,,76.69472653,9
779528,1.0001E+17,0,1,0,0,4.540130211,0,inf,,,76.300921,7
1420777,1.11111E+17,0,0,3,0,0,10.10454839,,inf,,76.14716055,10
288266,1.1101E+15,0,0,6,0,0,20.20909679,,inf,,76.08281587,10
226346,1.0101E+15,1,0,41,2.069129621,0,138.0954947,0,66.74086212,33.37043106,75.8701538,10
110451,1.11E+14,1,0,1,2.069129621,0,3.368182798,0,1.627825905,0.813912953,75.78411296,8
115950,1.11101E+14,0,0,3,0,0,10.10454839,,inf,,75.78411296,8
147930,2.01101E+14,0,0,3,0,0,10.10454839,,inf,,75.78411296,9
847749,1.0011E+17,0,0,15,0,0,50.52274197,,inf,,75.71146081,11
1019306,1.01101E+17,0,2,0,0,9.080260422,0,inf,,,75.53396865,11
816644,1.001E+17,0,0,8,0,0,26.94546238,,inf,,75.38370557,9
1460768,1.11201E+17,0,0,8,0,0,26.94546238,,inf,,75.38370557,12
1022762,1.01101E+17,1,8,0,2.069129621,36.32104169,0,17.55377784,0,8.776888921,75.3338862,10
1024491,1.01101E+17,0,10,0,0,45.40130211,0,inf,,,75.13380374,12
1014122,1.01101E+17,0,7,0,0,31.78091148,0,inf,,,74.88207385,10
1460804,1.11201E+17,0,0,3,0,0,10.10454839,,inf,,74.72819508,13
1027953,1.0111E+17,0,0,14,0,0,47.15455917,,inf,,74.62585768,11
273048,1.10111E+15,0,0,13,0,0,43.78637637,,inf,,74.37761601,6
936546,1.01E+17,0,1,0,0,4.540130211,0,inf,,,74.25234505,10
482835,1.0111E+16,0,0,3,0,0,10.10454839,,inf,,74.10002156,8
1105713,1.01211E+17,0,0,8,0,0,26.94546238,,inf,,74.07713814,12
273096,1.10111E+15,0,0,17,0,0,57.25910757,,inf,,73.5882747,6
88272,1.012E+14,2,128,15,4.138259241,581.136667,50.52274197,140.4302227,12.20869429,76.31945851,59.73861099,4
134220,2.0011E+14,0,0,5,0,0,16.84091399,,inf,,73.08941888,6
134246,2.0011E+14,1,0,4,2.069129621,0,13.47273119,0,6.511303621,3.255651811,73.08941888,8
859569,1.00111E+17,0,8,5,0,36.32104169,16.84091399,inf,inf,inf,72.13299593,11
130766,2.001E+14,0,0,5,0,0,16.84091399,,inf,,72.10615315,6
134654,2.0011E+14,0,0,4,0,0,13.47273119,,inf,,72.10615315,8
343713,1.21E+15,0,0,3,0,0,10.10454839,,inf,,71.88225997,11
249630,1.1E+15,0,0,15,0,0,50.52274197,,inf,,71.68334866,6
89856,1.01201E+14,1,151,14,2.069129621,685.5596619,47.15455917,331.3275568,22.78956268,177.0585597,53.00176279,4
343659,1.21E+15,0,0,2,0,0,6.736365596,,inf,,71.33354043,9
288530,1.1101E+15,0,0,19,0,0,63.99547316,,inf,,71.32137761,11
134228,2.0011E+14,0,0,10,0,0,33.68182798,,inf,,71.12288743,8
863486,1.00111E+17,0,0,3,0,0,10.10454839,,inf,,70.78482089,11
303451,1.1111E+15,0,0,1,0,0,3.368182798,,inf,,70.73183876,12
937810,1.01E+17,0,0,1,0,0,3.368182798,,inf,,70.73183876,8
